Model_Dataset,AUC_Test,AUC_Val,Precision,Recall,F1-Score,Optimal Threshold
engine_wiring_ColorizationModel,0.6868783390522522,0.790263319044703,0.6867469879518072,0.7080745341614907,0.6972477064220184,0.08786008
engine_wiring_AttentionColorizationModel,0.6718064544151501,0.749453241186248,0.6794871794871795,0.6583850931677019,0.6687697160883281,0.128643
engine_wiring_UNetColorizationModel,0.6172957477305303,0.6685329367509405,0.6363636363636364,0.6086956521739131,0.6222222222222223,0.004924402
engine_wiring_InpaintingModel,0.5972288580984233,0.6790744466800804,0.62,0.577639751552795,0.5980707395498392,0.0055559054
engine_wiring_AttentionInpaintingModel,0.5758154888589672,0.6953022482722421,0.5942857142857143,0.6459627329192547,0.6190476190476191,0.054947786
engine_wiring_UNetInpaintingModel,0.6707640185901056,0.6998075408975593,0.704225352112676,0.6211180124223602,0.6600660066006601,0.00025871105
engine_wiring_MaskedAutoencoderModel,0.6041349954393433,0.6890473274429184,0.6312056737588653,0.5527950310559007,0.5894039735099339,0.003815351
engine_wiring_AttentionMaskedAutoencoderModel,0.1950658037614559,0.8255839384130872,1.0,0.0124223602484472,0.0245398773006134,0.24797387
engine_wiring_UNetMaskedAutoencoderModel,0.6578204404291361,0.7203219315895373,0.6742424242424242,0.5527950310559007,0.6075085324232081,0.0019008558
mvtec_ad_bottle_ColorizationModel,0.846875,0.864516129032258,1.0,0.65625,0.7924528301886793,0.33679655
mvtec_ad_bottle_AttentionColorizationModel,0.859375,0.9612903225806452,1.0,0.71875,0.8363636363636363,0.18986069
mvtec_ad_bottle_UNetColorizationModel,0.459375,0.6225806451612903,1.0,0.1875,0.3157894736842105,0.072261
mvtec_ad_bottle_InpaintingModel,0.903125,0.8580645161290322,1.0,0.8125,0.896551724137931,0.460622
mvtec_ad_bottle_AttentionInpaintingModel,0.728125,0.9,0.9565217391304348,0.6875,0.8,0.017195493
mvtec_ad_bottle_UNetInpaintingModel,0.6875,0.8032258064516129,0.8846153846153846,0.71875,0.7931034482758621,0.008882812
mvtec_ad_bottle_MaskedAutoencoderModel,0.925,0.9225806451612902,0.9666666666666668,0.90625,0.935483870967742,0.36413816
mvtec_ad_bottle_AttentionMaskedAutoencoderModel,0.75625,0.9000000000000001,1.0,0.5625,0.72,0.104489684
mvtec_ad_bottle_UNetMaskedAutoencoderModel,0.734375,0.8161290322580645,0.9545454545454546,0.65625,0.7777777777777778,0.021028604
mvtec_ad_capsule_ColorizationModel,0.5231481481481481,0.7008264462809917,0.8846153846153846,0.4259259259259259,0.575,0.005703255
mvtec_ad_capsule_AttentionColorizationModel,0.566358024691358,0.7322314049586778,0.9166666666666666,0.4074074074074074,0.5641025641025641,0.05007068
mvtec_ad_capsule_UNetColorizationModel,0.595679012345679,0.7338842975206612,0.8727272727272727,0.8888888888888888,0.8807339449541284,0.004847583
mvtec_ad_capsule_InpaintingModel,0.5586419753086419,0.7305785123966942,0.8928571428571429,0.4629629629629629,0.6097560975609756,0.013201345
mvtec_ad_capsule_AttentionInpaintingModel,0.5802469135802468,0.7454545454545454,0.9333333333333332,0.5185185185185185,0.6666666666666667,0.0066771265
mvtec_ad_capsule_UNetInpaintingModel,0.6774691358024691,0.7570247933884298,0.8813559322033898,0.9629629629629628,0.9203539823008848,0.005317954
mvtec_ad_capsule_MaskedAutoencoderModel,0.5941358024691358,0.7404958677685951,0.92,0.4259259259259259,0.5822784810126582,0.018183686
mvtec_ad_capsule_AttentionMaskedAutoencoderModel,0.6049382716049383,0.7471074380165288,0.9523809523809524,0.3703703703703703,0.5333333333333333,0.06618264
mvtec_ad_capsule_UNetMaskedAutoencoderModel,0.4984567901234567,0.7404958677685951,0.9,0.3333333333333333,0.4864864864864864,0.007213799
mvtec_ad_hazelnut_ColorizationModel,0.9328571428571428,0.9857142857142858,0.9375,0.8571428571428571,0.8955223880597014,0.08088491
mvtec_ad_hazelnut_AttentionColorizationModel,0.9871428571428572,0.9814285714285714,0.9705882352941176,0.9428571428571428,0.9565217391304348,0.050891057
mvtec_ad_hazelnut_UNetColorizationModel,0.9485714285714284,0.9814285714285716,0.8947368421052632,0.9714285714285714,0.9315068493150684,0.010496986
mvtec_ad_hazelnut_InpaintingModel,0.9557142857142856,0.99,0.967741935483871,0.8571428571428571,0.909090909090909,0.08888486
mvtec_ad_hazelnut_AttentionInpaintingModel,0.797142857142857,0.8885714285714286,0.896551724137931,0.7428571428571429,0.8125,0.62087756
mvtec_ad_hazelnut_UNetInpaintingModel,0.8357142857142857,0.9671428571428572,0.8333333333333334,0.8571428571428571,0.8450704225352113,0.017333172
mvtec_ad_hazelnut_MaskedAutoencoderModel,0.9714285714285714,0.9885714285714284,1.0,0.8285714285714286,0.90625,0.05402776
mvtec_ad_hazelnut_AttentionMaskedAutoencoderModel,0.797142857142857,0.8885714285714286,0.896551724137931,0.7428571428571429,0.8125,0.62087756
mvtec_ad_hazelnut_UNetMaskedAutoencoderModel,0.9528571428571428,0.9971428571428572,1.0,0.8,0.888888888888889,0.0111810835
mvtec_ad_toothbrush_ColorizationModel,0.5888888888888889,0.7777777777777778,1.0,0.3333333333333333,0.5,0.07197691
mvtec_ad_toothbrush_AttentionColorizationModel,0.3666666666666666,0.6333333333333333,1.0,0.2666666666666666,0.4210526315789474,0.22176662
mvtec_ad_toothbrush_UNetColorizationModel,0.9222222222222224,0.9555555555555556,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.0028738768
mvtec_ad_toothbrush_InpaintingModel,0.5888888888888889,0.7333333333333334,1.0,0.4,0.5714285714285715,0.0076073916
mvtec_ad_toothbrush_AttentionInpaintingModel,0.3888888888888888,0.6333333333333334,1.0,0.3333333333333333,0.5,0.26847032
mvtec_ad_toothbrush_UNetInpaintingModel,0.7555555555555555,0.8555555555555556,1.0,0.7333333333333333,0.846153846153846,0.009831587
mvtec_ad_toothbrush_MaskedAutoencoderModel,0.7777777777777778,0.8888888888888891,0.8571428571428571,0.8,0.8275862068965518,0.07182049
mvtec_ad_toothbrush_AttentionMaskedAutoencoderModel,0.7555555555555555,0.9666666666666668,1.0,0.5333333333333333,0.6956521739130436,0.13347816
mvtec_ad_toothbrush_UNetMaskedAutoencoderModel,0.5222222222222223,0.811111111111111,1.0,0.2666666666666666,0.4210526315789474,0.0689371
